Time,Transmitted,Incident,Beam_fraction
5/8/2014 9:44,1627.4,1880.6,0.7
5/8/2014 9:44,1565.5,1883.7,0.71
5/8/2014 9:44,1588.9,1892.2,0.71
5/8/2014 9:44,1615.8,1889.8,0.71
5/8/2014 9:44,1547.4,1901.4,0.72
5/8/2014 9:45,1643.3,1915.4,0.72
5/8/2014 9:45,1600.9,1923.4,0.72
5/8/2014 9:45,852.7,1895.3,0.72
5/8/2014 9:45,708.4,1129.3,0.54
5/8/2014 9:45,1019.6,1042.6,0.5
5/8/2014 9:45,1637.9,1858.7,0.71
5/8/2014 9:46,17.3,1830.6,0.71
5/8/2014 9:47,12.4,1604.2,0.67
5/8/2014 9:47,19.7,1433.9,0.64
5/8/2014 9:47,40.1,1435.1,0.64
5/8/2014 9:47,6.5,1551.7,0.67
5/8/2014 9:47,28,1780.5,0.72
5/8/2014 9:47,8.1,1812.9,0.72
5/8/2014 9:48,15.9,1832.4,0.73
5/8/2014 9:48,14.1,1817.8,0.72
5/8/2014 9:48,7.3,1848.3,0.72
5/8/2014 9:48,8.7,1864.8,0.71
5/8/2014 9:48,10.5,1874.5,0.7
5/8/2014 9:48,14.9,1875.8,0.69
5/8/2014 9:49,17.8,1881.3,0.68
5/8/2014 9:49,25,1893.5,0.67
5/8/2014 9:49,36.9,1902.6,0.66
5/8/2014 9:49,14,1925.2,0.65
5/8/2014 9:49,22.3,1934.4,0.64
5/8/2014 9:49,11.1,1936.2,0.64
5/8/2014 12:23,1893.4,2259.1,0.68
5/8/2014 12:23,1931.2,2259.1,0.68
5/8/2014 12:24,1990.5,2259.1,0.68
5/8/2014 12:24,1973.2,2259.1,0.68
5/8/2014 12:24,2005.7,2259.1,0.68
5/8/2014 12:24,1969.5,2259.1,0.68
5/8/2014 12:24,1974.1,2259.1,0.68
5/8/2014 12:24,2048.1,2260.3,0.69
5/8/2014 12:24,1978.2,2257.2,0.69
5/8/2014 12:24,1940.7,2257.2,0.69
5/8/2014 12:25,290.3,2268.8,0.69
5/8/2014 12:25,82.1,2276.8,0.7
5/8/2014 12:25,79.1,2282.9,0.7
5/8/2014 12:25,356.8,2296.3,0.7
5/8/2014 12:25,235.2,2300,0.7
5/8/2014 12:25,345.7,2303,0.7
5/8/2014 12:25,533.5,2309.7,0.71
